FlightId,Latitude,Longitude,Velocity,Type,Status
4B9030,40.13087,32.46579,292,FIXED WING,UNKNOWN
151DB8,38.55368,31.81796,465,FIXED WING,UNKNOWN
4B9030,40.12561,32.48364,294,FIXED WING,UNKNOWN
151DB8,38.53203,31.80423,462,FIXED WING,UNKNOWN
4B9030,40.12262,32.49402,291,FIXED WING,UNKNOWN
151DB8,38.49665,31.78174,462,FIXED WING,UNKNOWN
4B9030,40.11755,32.51185,291,FIXED WING,UNKNOWN
151DB8,38.47774,31.76977,453,FIXED WING,UNKNOWN
4B9030,40.11223,32.52985,291,FIXED WING,UNKNOWN
151DB8,38.43711,31.74384,450,FIXED WING,UNKNOWN
4B9030,40.10838,32.54285,289,FIXED WING,UNKNOWN
151DB8,38.41644,31.73084,450,FIXED WING,UNKNOWN
4B9030,40.09293,32.59562,285,FIXED WING,UNKNOWN
151DB8,38.02528,31.51469,427,FIXED WING,UNKNOWN
151DB8,38.00276,31.50814,428,FIXED WING,UNKNOWN
4B9030,40.08772,32.61329,276,FIXED WING,UNKNOWN
4BB268,39.82255,32.90863,209,FIXED WING,UNKNOWN
4B9030,40.08488,32.62315,269,FIXED WING,UNKNOWN
4B9030,40.08421,32.62537,268,FIXED WING,UNKNOWN
4BB268,40.32504,32.91803,303,FIXED WING,UNKNOWN
4B9030,40.05840,32.71283,233,FIXED WING,UNKNOWN
4BB268,40.33179,32.90693,303,FIXED WING,UNKNOWN
4BB268,40.34929,32.87421,303,FIXED WING,UNKNOWN
4B9030,40.05560,32.72034,229,FIXED WING,UNKNOWN
4BB268,40.35409,32.85387,316,FIXED WING,UNKNOWN
4B9030,40.05537,32.72083,229,FIXED WING,UNKNOWN
4A08EB,38.28708,30.06689,487,FIXED WING,UNKNOWN
4BB268,40.35608,32.84222,321,FIXED WING,UNKNOWN
4BB268,40.35954,32.82209,321,FIXED WING,UNKNOWN
4BB268,40.36354,32.79950,342,FIXED WING,UNKNOWN
4A08EB,38.17167,30.83462,484,FIXED WING,UNKNOWN
4BB268,40.36377,32.79850,351,FIXED WING,UNKNOWN
4BB268,40.37077,32.76141,361,FIXED WING,UNKNOWN
4A08EB,38.18825,30.84429,484,FIXED WING,UNKNOWN
4BB268,40.37569,32.73601,361,FIXED WING,UNKNOWN
4A08EB,38.20871,30.85633,484,FIXED WING,UNKNOWN
4BB268,40.38419,32.69092,368,FIXED WING,UNKNOWN
4BAA6E,40.18045,32.31285,479,FIXED WING,UNKNOWN
4A08EB,38.25485,30.88350,485,FIXED WING,UNKNOWN
4A08EB,38.27596,30.89595,485,FIXED WING,UNKNOWN
4A08EB,38.29248,30.90571,482,FIXED WING,UNKNOWN
4BAA6E,40.17558,32.33478,479,FIXED WING,UNKNOWN
4BB268,40.38707,32.67554,369,FIXED WING,UNKNOWN
4A08EB,38.31417,30.91857,482,FIXED WING,UNKNOWN
4BAA6E,40.16895,32.36497,479,FIXED WING,UNKNOWN
4BB268,40.39641,32.62616,374,FIXED WING,UNKNOWN
4A08EB,38.33567,30.93129,482,FIXED WING,UNKNOWN
4BAA6E,40.15582,32.42502,479,FIXED WING,UNKNOWN
4A08EB,38.35150,30.94061,481,FIXED WING,UNKNOWN
4BB268,40.39966,32.60883,373,FIXED WING,UNKNOWN
4BB268,40.40408,32.58476,373,FIXED WING,UNKNOWN
4A08EB,38.37352,30.95356,481,FIXED WING,UNKNOWN
4BAA6E,40.14902,32.45611,480,FIXED WING,UNKNOWN
4BB268,40.40813,32.56250,372,FIXED WING,UNKNOWN
4A08EB,38.41878,30.98061,481,FIXED WING,UNKNOWN
4BAA6E,40.14482,32.47528,480,FIXED WING,UNKNOWN
4BB268,40.43188,32.43231,382,FIXED WING,UNKNOWN
4A08EB,38.42957,30.98712,481,FIXED WING,UNKNOWN
4A08EB,38.45317,30.99878,479,FIXED WING,UNKNOWN
4BAA6E,40.12596,32.56018,480,FIXED WING,UNKNOWN
4BB268,40.44090,32.38318,386,FIXED WING,UNKNOWN
4BB268,40.44530,32.35938,392,FIXED WING,UNKNOWN
4A08EB,38.47640,31.00421,477,FIXED WING,UNKNOWN
4BAA6E,40.11946,32.58990,480,FIXED WING,UNKNOWN
4A08EB,38.49431,31.00455,475,FIXED WING,UNKNOWN
4BAA6E,40.11259,32.62048,481,FIXED WING,UNKNOWN
4BB268,40.44585,32.35632,392,FIXED WING,UNKNOWN
4A08EB,38.51830,30.99969,473,FIXED WING,UNKNOWN
4BB268,40.45375,32.31310,403,FIXED WING,UNKNOWN
4BAA6E,40.10577,32.65039,481,FIXED WING,UNKNOWN
4BB268,40.45841,32.28745,408,FIXED WING,UNKNOWN
4BAA6E,40.10173,32.66847,481,FIXED WING,UNKNOWN
4A08EB,38.56271,30.97894,471,FIXED WING,UNKNOWN
4BB268,40.46199,32.26791,410,FIXED WING,UNKNOWN
4A08EB,38.58508,30.96801,472,FIXED WING,UNKNOWN
4BAA6E,40.08810,32.72925,482,FIXED WING,UNKNOWN
4BB268,40.46672,32.24213,413,FIXED WING,UNKNOWN
155C31,39.34259,32.23580,416,FIXED WING,UNKNOWN
4BAA6E,40.08320,32.75130,483,FIXED WING,UNKNOWN
4A08EB,38.60098,30.96039,471,FIXED WING,UNKNOWN
4BB268,40.47172,32.21466,417,FIXED WING,UNKNOWN
4A08EB,38.62299,30.94998,473,FIXED WING,UNKNOWN
4BB268,40.48947,32.14850,423,FIXED WING,UNKNOWN
155C31,39.33687,32.21802,415,FIXED WING,UNKNOWN
4BB268,40.49785,32.12109,424,FIXED WING,UNKNOWN
155C31,39.32882,32.19299,415,FIXED WING,UNKNOWN
4A08EB,38.64604,30.93909,473,FIXED WING,UNKNOWN
4BAA6E,40.06109,32.84107,484,FIXED WING,UNKNOWN
4BAA6E,40.05201,32.87147,484,FIXED WING,UNKNOWN
4BAA6E,40.04608,32.89136,485,FIXED WING,UNKNOWN
4A08EB,38.66238,30.93146,472,FIXED WING,UNKNOWN
4BB268,40.50338,32.10261,424,FIXED WING,UNKNOWN
155C31,39.31244,32.14246,414,FIXED WING,UNKNOWN
4BAA6E,40.03707,32.92184,485,FIXED WING,UNKNOWN
4A08EB,38.68165,30.92237,472,FIXED WING,UNKNOWN
155C31,39.30415,32.11713,414,FIXED WING,UNKNOWN
4BB268,40.53476,31.99625,431,FIXED WING,UNKNOWN
4BAA6E,40.02818,32.95215,486,FIXED WING,UNKNOWN
4A08EB,38.74036,30.89451,465,FIXED WING,UNKNOWN
4BB268,40.53988,31.97889,431,FIXED WING,UNKNOWN
4BAA6E,40.02196,32.97345,486,FIXED WING,UNKNOWN
155C31,39.29878,32.10062,413,FIXED WING,UNKNOWN
4BB268,40.54752,31.95294,434,FIXED WING,UNKNOWN
4BAA6E,40.01360,33.00187,487,FIXED WING,UNKNOWN
4A08EB,38.76302,30.88364,465,FIXED WING,UNKNOWN
4BB268,40.56897,31.88033,434,FIXED WING,UNKNOWN
155C31,39.29041,32.07494,413,FIXED WING,UNKNOWN
4A08EB,38.78513,30.87301,465,FIXED WING,UNKNOWN
4BAA6E,40.00467,33.03227,487,FIXED WING,UNKNOWN
4BAA6E,39.99563,33.06292,488,FIXED WING,UNKNOWN
4A08EB,38.79948,30.86609,464,FIXED WING,UNKNOWN
4BB268,40.57690,31.85327,435,FIXED WING,UNKNOWN
4BAA6E,39.99055,33.08020,488,FIXED WING,UNKNOWN
155C31,39.27640,32.03225,413,FIXED WING,UNKNOWN
4BAA6E,39.98195,33.10967,489,FIXED WING,UNKNOWN
4BAA6E,39.97287,33.13995,489,FIXED WING,UNKNOWN
4BB268,40.58433,31.82664,437,FIXED WING,UNKNOWN
4A08EB,38.82038,30.85596,463,FIXED WING,UNKNOWN
155C31,39.26866,32.00861,414,FIXED WING,UNKNOWN
4BB268,40.58796,31.81116,438,FIXED WING,UNKNOWN
4BAA6E,39.96643,33.16156,488,FIXED WING,UNKNOWN
4A08EB,38.86624,30.83349,464,FIXED WING,UNKNOWN
4BB268,40.59448,31.78180,431,FIXED WING,UNKNOWN
155C31,39.26038,31.98329,414,FIXED WING,UNKNOWN
4BAA6E,39.95773,33.19086,488,FIXED WING,UNKNOWN
4A08EB,38.88820,30.82269,465,FIXED WING,UNKNOWN
4BB268,40.60094,31.75470,416,FIXED WING,UNKNOWN
155C31,39.25227,31.95851,413,FIXED WING,UNKNOWN
4BAA6E,39.94011,33.25024,488,FIXED WING,UNKNOWN
4BB268,40.61175,31.71179,410,FIXED WING,UNKNOWN
4A08EB,38.90300,30.81546,464,FIXED WING,UNKNOWN
155C31,39.24765,31.94436,414,FIXED WING,UNKNOWN
4BAA6E,39.93082,33.28137,488,FIXED WING,UNKNOWN
4BB84A,40.20800,33.34475,253,FIXED WING,UNKNOWN
4BAA6E,39.92469,33.30187,488,FIXED WING,UNKNOWN
4A08EB,38.92516,30.80459,465,FIXED WING,UNKNOWN
155C31,39.24722,31.94312,413,FIXED WING,UNKNOWN
4A08EB,38.94768,30.79360,465,FIXED WING,UNKNOWN
155C31,39.23139,31.89496,413,FIXED WING,UNKNOWN
4BAA6E,39.92427,33.30322,488,FIXED WING,UNKNOWN
4BB84A,39.56442,32.70502,273,FIXED WING,UNKNOWN
4BB84A,39.57248,32.69961,271,FIXED WING,UNKNOWN
155C31,39.22568,31.87761,413,FIXED WING,UNKNOWN
4A08EB,38.96233,30.78644,465,FIXED WING,UNKNOWN
4BAA6E,39.90038,33.38327,488,FIXED WING,UNKNOWN
4BAA6E,39.89187,33.41168,488,FIXED WING,UNKNOWN
4A08EB,38.98508,30.77545,465,FIXED WING,UNKNOWN
4BB84A,39.58551,32.69537,266,FIXED WING,UNKNOWN
155C31,39.20076,31.80219,413,FIXED WING,UNKNOWN
4A08EB,39.00604,30.76542,465,FIXED WING,UNKNOWN
4BB84A,39.59930,32.69579,263,FIXED WING,UNKNOWN
4A08EB,39.02907,30.75434,466,FIXED WING,UNKNOWN
4BAA6E,39.88307,33.44116,488,FIXED WING,UNKNOWN
155C31,39.17908,31.73717,414,FIXED WING,UNKNOWN
4BB84A,39.61180,32.70057,259,FIXED WING,UNKNOWN
155C31,39.17012,31.71021,414,FIXED WING,UNKNOWN
4BB84A,39.61800,32.70471,257,FIXED WING,UNKNOWN
4BAA6E,39.87350,33.47313,488,FIXED WING,UNKNOWN
4A08EB,39.28990,30.62756,466,FIXED WING,UNKNOWN
155C31,39.16397,31.69168,414,FIXED WING,UNKNOWN
4BB84A,39.62820,32.71509,254,FIXED WING,UNKNOWN
4BAA6E,39.86943,33.48682,488,FIXED WING,UNKNOWN
4BAA6E,39.85062,33.54962,488,FIXED WING,UNKNOWN
155C31,39.15610,31.66809,414,FIXED WING,UNKNOWN
4BB84A,39.63766,32.72702,250,FIXED WING,UNKNOWN
4A08EB,39.46824,30.53961,463,FIXED WING,UNKNOWN
155C31,39.14799,31.64355,413,FIXED WING,UNKNOWN
4BAA6E,39.84416,33.57117,489,FIXED WING,UNKNOWN
4BB84A,39.64402,32.73511,248,FIXED WING,UNKNOWN
4BAA6E,39.83675,33.59735,489,FIXED WING,UNKNOWN
4A08EB,39.60539,30.46646,460,FIXED WING,UNKNOWN
4BB84A,39.65292,32.74615,248,FIXED WING,UNKNOWN
155C31,39.13966,31.61841,412,FIXED WING,UNKNOWN
4BAA6E,39.82832,33.63112,489,FIXED WING,UNKNOWN
4A08EB,39.63928,30.44659,460,FIXED WING,UNKNOWN
4BAA6E,39.81541,33.69441,490,FIXED WING,UNKNOWN
155C31,39.13477,31.60373,412,FIXED WING,UNKNOWN
4BAA6E,39.81133,33.71515,489,FIXED WING,UNKNOWN
4A08EB,39.68220,30.42157,460,FIXED WING,UNKNOWN
4BB84A,39.67195,32.76774,247,FIXED WING,UNKNOWN
155C31,39.12657,31.57912,412,FIXED WING,UNKNOWN
4BAA6E,39.80495,33.74701,490,FIXED WING,UNKNOWN
4A08EB,39.68294,30.42108,460,FIXED WING,UNKNOWN
4BB84A,39.68184,32.77705,249,FIXED WING,UNKNOWN
4BAA6E,39.79444,33.79834,489,FIXED WING,UNKNOWN
155C31,39.11845,31.55462,412,FIXED WING,UNKNOWN
4A08EB,39.71796,30.40084,458,FIXED WING,UNKNOWN
155C31,39.11254,31.53674,412,FIXED WING,UNKNOWN
4BB84A,39.68893,32.78368,250,FIXED WING,UNKNOWN
4BAA6E,39.79395,33.80087,489,FIXED WING,UNKNOWN
4BAA6E,39.78164,33.86041,490,FIXED WING,UNKNOWN
4BB84A,39.69951,32.79353,252,FIXED WING,UNKNOWN
4BAA6E,39.77428,33.89246,490,FIXED WING,UNKNOWN
155C31,39.10448,31.51257,412,FIXED WING,UNKNOWN
4A08EB,40.60826,29.87482,464,FIXED WING,UNKNOWN
4BB84A,39.70990,32.80338,250,FIXED WING,UNKNOWN
155C31,39.08849,31.46455,413,FIXED WING,UNKNOWN
4BAA6E,39.77055,33.90698,490,FIXED WING,UNKNOWN
4BB84A,39.71718,32.81025,250,FIXED WING,UNKNOWN
4BCCAA,41.05470,29.57688,437,FIXED WING,UNKNOWN
4BAA6E,39.76213,33.93737,490,FIXED WING,UNKNOWN
155C31,38.94825,30.97845,434,FIXED WING,UNKNOWN
4BAA6E,39.74693,33.99020,491,FIXED WING,UNKNOWN
4BCCAA,41.08672,30.82422,483,FIXED WING,UNKNOWN
4BCCAA,41.07406,30.84948,482,FIXED WING,UNKNOWN
4BB84A,39.72698,32.81940,248,FIXED WING,UNKNOWN
155C31,38.93967,30.95243,436,FIXED WING,UNKNOWN
4BAA6E,39.73862,34.01953,491,FIXED WING,UNKNOWN
155C31,38.93396,30.93524,436,FIXED WING,UNKNOWN
4BB84A,39.73750,32.82900,247,FIXED WING,UNKNOWN
4BCCAA,41.05060,30.89630,482,FIXED WING,UNKNOWN
155C31,38.92529,30.90896,436,FIXED WING,UNKNOWN
4BAA6E,39.72940,34.05212,492,FIXED WING,UNKNOWN
4BCCAA,41.03794,30.92165,482,FIXED WING,UNKNOWN
4BB84A,39.74793,32.83832,248,FIXED WING,UNKNOWN
155C31,38.90818,30.85687,436,FIXED WING,UNKNOWN
4BCCAA,41.02428,30.94891,482,FIXED WING,UNKNOWN
4BB84A,39.75380,32.84363,249,FIXED WING,UNKNOWN
4BAA6E,39.71232,34.11237,491,FIXED WING,UNKNOWN
155C31,38.90350,30.84274,436,FIXED WING,UNKNOWN
4BCCAA,40.99690,31.00329,480,FIXED WING,UNKNOWN
4BB84A,39.76410,32.85312,249,FIXED WING,UNKNOWN
4BCCAA,40.98715,31.02277,480,FIXED WING,UNKNOWN
4BB84A,39.77404,32.86255,249,FIXED WING,UNKNOWN
4BAA6E,39.66605,34.27484,492,FIXED WING,UNKNOWN
155C31,38.89500,30.81665,436,FIXED WING,UNKNOWN
4BCCAA,40.97461,31.04798,480,FIXED WING,UNKNOWN
155C31,38.88620,30.78986,435,FIXED WING,UNKNOWN
4BCCAA,40.97342,31.05035,480,FIXED WING,UNKNOWN
4BAA6E,39.66573,34.27591,492,FIXED WING,UNKNOWN
4BB84A,39.78173,32.86987,247,FIXED WING,UNKNOWN
155C31,38.88015,30.77136,435,FIXED WING,UNKNOWN
4BCCAA,40.93785,31.12250,480,FIXED WING,UNKNOWN
4BB84A,39.80164,32.88871,245,FIXED WING,UNKNOWN
4BA9E9,38.52388,30.06946,405,FIXED WING,UNKNOWN
4BCCAA,40.91201,31.17495,480,FIXED WING,UNKNOWN
155C31,38.87238,30.74775,434,FIXED WING,UNKNOWN
4BB84A,39.81147,32.89807,246,FIXED WING,UNKNOWN
4BCCAA,40.90434,31.19050,480,FIXED WING,UNKNOWN
4BB84A,39.82097,32.90704,245,FIXED WING,UNKNOWN
155C31,38.85466,30.69401,433,FIXED WING,UNKNOWN
155C31,38.83974,30.64929,433,FIXED WING,UNKNOWN
4BA9E9,38.09331,30.64227,428,FIXED WING,UNKNOWN
4BCCAA,40.89181,31.21590,480,FIXED WING,UNKNOWN
155C31,38.82228,30.59790,433,FIXED WING,UNKNOWN
4BA9E9,38.11446,30.63958,430,FIXED WING,UNKNOWN
4BB84A,39.82823,32.91385,243,FIXED WING,UNKNOWN
155C31,38.81593,30.58235,434,FIXED WING,UNKNOWN
4BA9E9,38.12977,30.63765,433,FIXED WING,UNKNOWN
4BCCAA,40.87780,31.24405,480,FIXED WING,UNKNOWN
4BB84A,39.83843,32.92358,244,FIXED WING,UNKNOWN
4BCCAA,40.86790,31.26398,480,FIXED WING,UNKNOWN
155C31,38.80312,30.55799,436,FIXED WING,UNKNOWN
4BB84A,39.84839,32.93311,243,FIXED WING,UNKNOWN
4BA9E9,38.17369,30.63193,442,FIXED WING,UNKNOWN
4BA9E9,38.19011,30.62976,447,FIXED WING,UNKNOWN
4BCCAA,40.63060,31.73730,485,FIXED WING,UNKNOWN
155C31,38.78909,30.53772,440,FIXED WING,UNKNOWN
4BB84A,39.85523,32.93951,243,FIXED WING,UNKNOWN
4BA9E9,38.23576,30.62374,461,FIXED WING,UNKNOWN
4BB84A,39.86473,32.94855,242,FIXED WING,UNKNOWN
4BCCAA,40.62116,31.75598,485,FIXED WING,UNKNOWN
155C31,38.76096,30.50885,446,FIXED WING,UNKNOWN
155C31,38.74277,30.49390,447,FIXED WING,UNKNOWN
4BCCAA,40.60739,31.78314,486,FIXED WING,UNKNOWN
155C31,38.72285,30.47717,448,FIXED WING,UNKNOWN
4BCCAA,40.59384,31.80994,487,FIXED WING,UNKNOWN
4BB84A,39.87506,32.95839,234,FIXED WING,UNKNOWN
4BCCAA,40.58377,31.82983,487,FIXED WING,UNKNOWN
4BA9E9,38.25924,30.62069,464,FIXED WING,UNKNOWN
155C31,38.70865,30.46521,447,FIXED WING,UNKNOWN
4BCCAA,40.57079,31.85542,487,FIXED WING,UNKNOWN
4BB84A,40.02305,32.89700,167,FIXED WING,UNKNOWN
4BCCAA,40.55649,31.88324,487,FIXED WING,UNKNOWN
155C31,38.69069,30.44998,446,FIXED WING,UNKNOWN
4BA9E9,38.27014,30.61930,465,FIXED WING,UNKNOWN
45D066,38.43626,30.82513,445,FIXED WING,UNKNOWN
155C31,38.65288,30.41778,447,FIXED WING,UNKNOWN
4BCCAA,40.54272,31.90979,486,FIXED WING,UNKNOWN
4BA9E9,38.29462,30.61609,465,FIXED WING,UNKNOWN
45D066,38.44817,30.82686,445,FIXED WING,UNKNOWN
45D066,38.85828,30.89051,467,FIXED WING,UNKNOWN
4BA9E9,38.33464,30.61077,465,FIXED WING,UNKNOWN
45D066,38.89778,30.89684,470,FIXED WING,UNKNOWN
155C31,38.62056,30.39039,446,FIXED WING,UNKNOWN
4BCCAA,40.53522,31.92427,486,FIXED WING,UNKNOWN
45D066,38.92131,30.90078,471,FIXED WING,UNKNOWN
45D066,38.93903,30.90370,471,FIXED WING,UNKNOWN
4BCCAA,40.52093,31.95174,486,FIXED WING,UNKNOWN
4BA9E9,38.35876,30.60750,464,FIXED WING,UNKNOWN
4BCCAA,40.50764,31.97735,486,FIXED WING,UNKNOWN
45D066,38.96169,30.90759,471,FIXED WING,UNKNOWN
507C40,40.87527,30.56885,375,FIXED WING,UNKNOWN
4BCCAA,40.49747,31.99687,486,FIXED WING,UNKNOWN
45D066,38.98572,30.91165,471,FIXED WING,UNKNOWN
4BA9E9,38.40536,30.60113,464,FIXED WING,UNKNOWN
45D066,39.00966,30.91559,472,FIXED WING,UNKNOWN
4BA9E9,38.42871,30.59800,462,FIXED WING,UNKNOWN
45D066,39.02306,30.91772,472,FIXED WING,UNKNOWN
45D066,39.04541,30.92072,472,FIXED WING,UNKNOWN
4BCCAA,40.48439,32.02203,486,FIXED WING,UNKNOWN
4BA9E9,38.44487,30.59579,463,FIXED WING,UNKNOWN
45D066,39.07082,30.92090,472,FIXED WING,UNKNOWN
507C40,40.62781,30.72778,469,FIXED WING,UNKNOWN
4BCCAA,40.45715,32.07452,486,FIXED WING,UNKNOWN
45D066,39.08740,30.91882,470,FIXED WING,UNKNOWN
507C40,40.62144,30.75806,467,FIXED WING,UNKNOWN
4BA9E9,38.46680,30.59280,463,FIXED WING,UNKNOWN
4BA9E9,38.50917,30.58704,463,FIXED WING,UNKNOWN
507C40,40.61691,30.77942,466,FIXED WING,UNKNOWN
4BA9E9,38.53073,30.58411,463,FIXED WING,UNKNOWN
45D066,39.08844,30.91863,466,FIXED WING,UNKNOWN
507C40,40.61073,30.80859,467,FIXED WING,UNKNOWN
4BCCAA,40.43248,32.12202,486,FIXED WING,UNKNOWN
45D066,39.20397,30.84271,453,FIXED WING,UNKNOWN
4BCCAA,40.41833,32.14912,485,FIXED WING,UNKNOWN
4BCCAA,40.40474,32.17533,485,FIXED WING,UNKNOWN
507C40,40.60500,30.83569,468,FIXED WING,UNKNOWN
4BA9E9,38.57784,30.57776,463,FIXED WING,UNKNOWN
4BCCAA,40.39568,32.19269,485,FIXED WING,UNKNOWN
45D066,39.22224,30.82477,452,FIXED WING,UNKNOWN
4BA9E9,38.61443,30.57274,463,FIXED WING,UNKNOWN
507C40,40.59805,30.86847,473,FIXED WING,UNKNOWN
4BA9E9,38.63831,30.56952,463,FIXED WING,UNKNOWN
507C40,40.58820,30.91503,471,FIXED WING,UNKNOWN
45D066,39.23413,30.81317,452,FIXED WING,UNKNOWN
4BCCAA,40.38099,32.22078,484,FIXED WING,UNKNOWN
507C40,40.58178,30.94511,471,FIXED WING,UNKNOWN
45D066,39.23589,30.81152,450,FIXED WING,UNKNOWN
4BA9E9,38.69897,30.56134,463,FIXED WING,UNKNOWN
45D066,39.25336,30.79437,449,FIXED WING,UNKNOWN
507C40,40.57027,30.99908,474,FIXED WING,UNKNOWN
4BCCAA,40.36745,32.24669,485,FIXED WING,UNKNOWN
507C40,40.55768,31.05786,471,FIXED WING,UNKNOWN
4BA9E9,38.74709,30.55244,450,FIXED WING,UNKNOWN
45D066,39.29861,30.74957,448,FIXED WING,UNKNOWN
4BA9E9,38.76210,30.54856,447,FIXED WING,UNKNOWN
507C40,40.55147,31.08700,469,FIXED WING,UNKNOWN
4BCCAA,40.35342,32.27332,484,FIXED WING,UNKNOWN
45D066,39.31602,30.73218,449,FIXED WING,UNKNOWN
4BA9E9,38.78430,30.54175,444,FIXED WING,UNKNOWN
4BA9E9,38.80581,30.53400,443,FIXED WING,UNKNOWN
4BCCAA,40.34599,32.28745,483,FIXED WING,UNKNOWN
45D066,39.31774,30.73047,449,FIXED WING,UNKNOWN
507C40,40.51604,31.25192,474,FIXED WING,UNKNOWN
45D066,39.34726,30.70111,449,FIXED WING,UNKNOWN
4BA9E9,38.82205,30.52734,443,FIXED WING,UNKNOWN
507C40,40.50967,31.28151,475,FIXED WING,UNKNOWN
45D066,39.59994,30.47064,446,FIXED WING,UNKNOWN
4BCCAA,40.33235,32.31335,483,FIXED WING,UNKNOWN
4BA9E9,38.84212,30.51823,442,FIXED WING,UNKNOWN
45D066,39.61830,30.45989,447,FIXED WING,UNKNOWN
4BCCAA,40.31763,32.34132,483,FIXED WING,UNKNOWN
4BA9E9,38.86208,30.50814,441,FIXED WING,UNKNOWN
507C40,40.50623,31.29749,475,FIXED WING,UNKNOWN
45D066,39.66124,30.43482,450,FIXED WING,UNKNOWN
4BA9E9,38.93546,30.46288,441,FIXED WING,UNKNOWN
4BCCAA,40.30819,32.35929,482,FIXED WING,UNKNOWN
507C40,40.49963,31.32800,477,FIXED WING,UNKNOWN
45D066,39.68207,30.42257,452,FIXED WING,UNKNOWN
4BA9E9,38.96887,30.44150,441,FIXED WING,UNKNOWN
4BA9E9,39.06301,30.38129,444,FIXED WING,UNKNOWN
507C40,40.49304,31.35852,478,FIXED WING,UNKNOWN
45D066,39.68304,30.42200,452,FIXED WING,UNKNOWN
4BCCAA,40.29422,32.38601,482,FIXED WING,UNKNOWN
507C40,40.48783,31.38257,479,FIXED WING,UNKNOWN
4BA9E9,39.06395,30.38072,444,FIXED WING,UNKNOWN
45D066,39.71640,30.40245,453,FIXED WING,UNKNOWN
4BA9E9,39.22263,30.27856,441,FIXED WING,UNKNOWN
4BCCAA,40.26704,32.43799,481,FIXED WING,UNKNOWN
45D066,39.71846,30.40126,453,FIXED WING,UNKNOWN
507C40,40.48145,31.41203,478,FIXED WING,UNKNOWN
4BA9E9,39.24088,30.26680,441,FIXED WING,UNKNOWN
45D066,40.29131,30.06384,452,FIXED WING,UNKNOWN
4BCCAA,40.25302,32.46473,480,FIXED WING,UNKNOWN
4BAA52,40.17696,32.60950,444,FIXED WING,UNKNOWN
45D066,40.29309,30.06281,452,FIXED WING,UNKNOWN
507C40,40.46800,31.47339,479,FIXED WING,UNKNOWN
4BCCAA,40.24384,32.48230,481,FIXED WING,UNKNOWN
4BAA52,40.22287,32.52240,446,FIXED WING,UNKNOWN
06A1E1,40.34372,30.49420,389,FIXED WING,UNKNOWN
